number,binary,english_name,chinese_name,trigram_above,trigram_below,chinese_name_symbols,judgement
1,111111,The Creative,Qián,Heaven,Heaven,乾,"The creative works sublime success, furthering through perseverance."
2,000000,The Receptive,Kūn,Earth,Earth,坤,"The receptive brings about sublime success, furthering through the perseverance of a mare. If the superior man undertakes something and tries to lead, he goes astray; but if he follows, he finds guidance. It is favorable to find friends in the west and south, to forego friends in the east and north. Quiet perseverance brings good fortune."
3,100010,Difficulty at the Beginning,Zhūn,Thunder,Water,屯,"Difficulty at the beginning works supreme success, furthering through perseverance. Nothing should be undertaken. It furthers one to appoint helpers."
4,010001,Youthful Folly,Méng,Mountain,Water,蒙,"Youthful folly has success. It is not i who seek the young fool; the young fool seeks me. At the first oracle i inform him. If he asks two or three times, it is importunity. If he importunes, i give him no information. Perseverance furthers."
5,111010,Waiting,Xū,Heaven,Water,需,"Waiting. If you are sincere, you have light and success. Perseverance brings good fortune. It furthers one to cross the great water."
6,010111,Conflict,Sòng,Water,Heaven,訟,Conflict. You are sincere and are being obstructed. A cautious halt halfway brings good fortune. Going through to the end brings misfortune. It furthers one to see the great man. It does not further one to cross the great water.
7,010000,The Army,Shī,Earth,Water,師,The army. The army needs perseverance and a strong man. Good fortune without blame.
8,000010,Holding Together,Bǐ,Water,Earth,比,"Holding together brings good fortune. Inquire of the oracle once again whether you possess sublimity, constancy, and perseverance; then there is no blame. Those who are uncertain gradually join. Whoever come too late meets with misfortune."
9,111011,The Taming Power of the Small,Xiǎo Chù,Heaven,Wind,小畜,"The taming power of the small has success. Dense clouds, no rain from our western region."
10,110111,Treading,Lǚ,Wind,Heaven,履,Treading. Treading upon the tail of the tiger. It does not bite the man. Success.
11,111000,Peace,Tài,Earth,Heaven,泰,"Peace. The small departs, the great approaches. Good fortune. Success."
12,000111,Standstill,Pǐ,Heaven,Earth,否,Standstill. Evil people do not further the perseverance of the superior man. The great departs; the small approaches.
13,101111,Fellowship with Men,Tóng Rén,Heaven,Fire,同人,Fellowship with men in the open. Success. It furthers one to cross the great water. The perseverance of the superior man furthers.
14,111101,Possession in Great Measure,Dà Yǒu,Fire,Heaven,大有,Possession in great measure. Supreme success.
15,001000,Modesty,Qiān,Earth,Mountain,謙,Modesty creates success. The superior man carries things through.
16,000100,Enthusiasm,Yù,Thunder,Earth,豫,Enthusiasm. It furthers one to install helpers and to set armies marching.
17,100110,Following,Suí,Lake,Thunder,隨,Following has supreme success. Perseverance furthers. No blame.
18,011001,Work on What Has Been Spoiled,Gǔ,Mountain,Wind,蠱,"Work on what has been spoiled has supreme success. It furthers one to cross the great water. Before the starting point, three days. After the starting point, three days."
19,110000,Approach,Lín,Earth,Lake,臨,"Approach has supreme success. Perseverance furthers. When the eighth month comes, there will be misfortune."
20,000011,Contemplation,Guān,Wind,Earth,觀,"Contemplation. The ablution has been made, but not yet the offering. Full of trust they look up to him."
21,100101,Biting Through,Shì Kè,Fire,Thunder,噬嗑,Biting through has success. It is favorable to let justice be administered.
22,101001,Grace,Bì,Mountain,Fire,賁,Grace has success. In small matters it is favorable to undertake something.
23,000001,Splitting Apart,Bō,Mountain,Earth,剝,Splitting apart. It does not further one to go anywhere.
24,100000,Return,Fù,Earth,Thunder,復,Return. Success. Going out and coming in without error. Friends come without blame. To and fro goes the way. On the seventh day comes return. It furthers one to have somewhere to go.
25,100111,Innocence,Wú Wàng,Heaven,Thunder,無妄,"Innocence. Supreme success. Perseverance furthers. If someone is not as he should be, he has misfortune, and it does not further him to undertake anything."
26,111001,The Taming Power of the Great,Dà Chù,Mountain,Heaven,大畜,The taming power of the great. Perseverance furthers. Not eating at home brings good fortune. It furthers one to cross the great water.
27,100001,The Corners of the Mouth,Yí,Mountain,Thunder,頤,The corners of the mouth. Perseverance brings good fortune. Pay heed to the providing of nourishment and to what a man seeks to fill his own mouth with.
28,011110,Preponderance of the Great,Dà Guò,Lake,Wind,大過,Preponderance of the great. The ridgepole sags to the breaking point. It furthers one to have somewhere to go. Success.
29,010010,The Abysmal Water,Kǎn,Water,Water,坎,"The abysmal repeated. If you are sincere, you have success in your heart, and whatever you do succeeds."
30,101101,The Clinging,Lí,Fire,Fire,離,The clinging. Perseverance furthers. It brings success. Care of the cow brings good fortune.
31,001110,Influence,Xián,Lake,Mountain,咸,Influence. Success. Perseverance furthers. To take a maiden to wife brings good fortune.
32,011100,Duration,Héng,Thunder,Wind,恆,Duration. Success. No blame. Perseverance furthers. It furthers one to have somewhere to go.
33,001111,Retreat,Dùn,Heaven,Mountain,遯,"Retreat. Success. In what is small, perseverance furthers."
34,111100,The Power of the Great,Dà Zhuàng,Thunder,Heaven,大壯,The power of the great. Perseverance furthers.
35,000101,Progress,Jìn,Fire,Earth,晉,Progress. The powerful prince is honored with horses in large numbers. In a single day he is granted audience three times.
36,101000,Darkening of the Light,Míng Yí,Earth,Fire,明夷,Darkening of the light. In adversity it furthers one to be persevering.
37,101011,The Family,Jiā Rén,Fire,Wind,家人,The family. The perseverance of the woman furthers.
38,110101,Opposition,Kuí,Fire,Lake,睽,"Opposition. In small matters, good fortune."
39,001010,Obstruction,Jiǎn,Water,Mountain,蹇,Obstruction. The southwest furthers. The northeast does not further. It furthers one to see the great man. Perseverance brings good fortune.
40,010100,Deliverance,Xiè,Thunder,Water,解,"Deliverance. The southwest furthers. If there is no longer anything where one has to go, return brings good fortune. If there is still something where one has to go, hastening brings good fortune."
41,110001,Decrease,Sǔn,Mountain,Lake,損,Decrease combined with sincerity brings about supreme good fortune without blame. One may be persevering in this. It furthers one to undertake something. How is this to be carried out? One may use two small bowls for the sacrifice.
42,100011,Increase,Yì,Wind,Thunder,益,Increase. It furthers one to undertake something. It furthers one to cross the great water.
43,111110,Breakthrough,Guài,Lake,Heaven,夬,Break-through. One must resolutely make the matter known at the court of the king. It must be announced truthfully. Danger. It is necessary to notify one's own city. It does not further to resort to arms. It furthers one to undertake something.
44,011111,Coming to Meet,Gòu,Heaven,Wind,姤,Coming to meet. The maiden is powerful. One should not marry such a maiden.
45,000110,Gathering Together,Cuì,Earth,Lake,萃,Gathering together. Success. The king approaches his temple. It furthers one to see the great man. This brings success. Perseverance furthers. To bring great offerings creates good fortune. It furthers one to undertake something.
46,011000,Pushing Upward,Shēng,Wind,Earth,升,Pushing upward has supreme success. One must see the great man. Fear not. Departure toward the south brings good fortune.
47,010110,Oppression,Kùn,Lake,Water,困,"Oppression. Success. Perseverance. The great man brings about good fortune. No blame. When one has something to say, it is not believed."
48,011010,The Well,Jǐng,Water,Wind,井,"The well. The town may be changed, but the well cannot be changed. It neither decreases nor increases. They come and go and draw from the well. If one gets down almost to the water and the rope does not go all the way, or the jug breaks, it brings misfortune."
49,101110,Revolution,Gé,Lake,Fire,革,"Revolution. On your own day you are believed. Supreme success, furthering through perseverance. Remorse disappears."
50,011101,The Cauldron,Dǐng,Fire,Wind,鼎,The cauldron. Supreme good fortune. Success.
51,100100,The Arousing,Zhèn,Thunder,Thunder,震,"Shock brings success. Shock comes-oh, oh! Laughing words -ha, ha! The shock terrifies for a hundred miles, and he does not let fall the sacrificial spoon and chalice."
52,001001,Keeping Still,Gèn,Mountain,Mountain,艮,Keeping still. Keeping his back still so that he no longer feels his body. He goes into his courtyard and does not see his people. No blame.
53,001011,Development,Jiàn,Wind,Mountain,漸,Development. The maiden is given in marriage. Good fortune. Perseverance furthers.
54,110100,The Marrying Maiden,Guī Mèi,Thunder,Lake,歸妹,The marrying maiden. Undertakings bring misfortune. Nothing that would further.
55,101100,Abundance,Fēng,Fire,Thunder,豐,Abundance has success. The king attains abundance. Be not sad. Be like the sun at midday.
